"Marca.temporal","X1.1..Estás.de.acuerdo.en.responder.la.siguiente.encuesta.de.cafetería.en.Constitución.","X7.1.Reside.en.Constitución.o.es.visitante","X2.1..Consumes.café.","X2.2..Si.respondió.que.NO..no.responda...Cada.cuánto.consumes.café.al.interior.de.tu.domicilio.","X2.4..Visitas.cafeterías.","X2.6..Si.respondió.que.NO..no.responda..Con.qué.frecuencia.visitas.una.cafetería.","X2.5..Si.respondió.que.NO..pase.a.la.siguiente.sección...Dónde.sueles.ir.cuando.visitas.una.cafetería.","X2.3..Si.respondió.que.NO..pase.a.la.siguiente...Qué.tipo.de.café.consumes.","X3.2..Qué.aspectos.valoras.más.al.elegir.una.cafetería.","X2.7..Cuánto.está.dispuesto.a.pagar.al.consumir.en.una.cafetería.","X6.1..Estás.de.acuerdo.con.que.la.producción.de.los.pasteles.de.Pan.Canela.se.realice.en.una.extensión.de.fábrica.","X6.2..Te.gustaría.que.ciertos.productos.se.hicieran.a.la.vista.del.cliente.","X6.3..Te.gustaría.que.Pan.Canela.amplíe.su.carta.en.opciones.saladas.","X6.4.Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore.","X6.5..Te.gustaría.que.existiera.una.sucursal.de.Pan.Canela.cerca.de.la.playa.","X6.6..Si.respondió.que.NO..pase.a.la.siguiente.sección...Qué.te.gustaría.encontrar.en.la.carta.de.la.nueva.sucursal.","X6.7..Qué.formato.de.atención.te.gustaría.en.esta.sucursal.","X.Participa.o.le.gustaría.participar.en.talleres.actividades.de.Pan.Canela.","X.Qué.taller.te.gustaría.que.realizara.Pan.Canela.","X7.2..Qué.edad.tienes.","X7.3..Cuál.es.tu.género.","X7.4..Cuál.es.tu.ingreso.mensual.aproximado.","X5.1..Conoces.a.Pan.Canela.","X5.2..Si.respondió.que.NO..pase.a.la.siguiente..En.el.último.mes..Cuántas.veces.visitó.a.Pan.Canela.","X.Cómo.conoció.Pan.Canela.","X4.1..Qué.lo.motiva.principalmente.a.visitar.una.cafetería.","X4.2..Qué.medio.usa.para.elegir.una.cafetería.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Precio.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Calidad.del.producto.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Servicio.y.atención.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Ambiente.y.comodidad.","X3.2.Las.veces.que.visitas.una.cafetería..Qué.aspectos.valoras.más.al.elegir.una.cafetería...Ubicación.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Croissant.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Empanadas.Artesanales.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Ensaladas.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Opciones.libres.de.alergias.","X6.4...Si.respondió.que.NO..pase.a.la.siguiente..Si.Pan.Canela.amplía.su.carta..Qué.tipos.de.productos.te.gustaría.que.incorpore...Colaciones..","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Café..","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Repostería.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Productos.salados.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Jugos.bebidas.frías.","X3.1..Qué.tipo.de.producto.consume.con.mayor.frecuencia.a.la.semana...Té.","Puntuación"
2025-10-25 11:45:51.538,"Sí","Constitución","Sí","Todos los días","No","1 vez a la semana","Cerca de mi hogar","Descafeinado",NA,"Menos de $5.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.0","Masculino","Prefiero no decirlo","No","Ninguna",NA,"Relajarse /disfrutar del ambiente","Recomendaciones",NA,"Medio","Alto","Alto","Alto","Medio",NA,NA,NA,NA,NA,"Consumo diariamente","Consumo diariamente","Consumo poco (1-2 veces)","Consumo diariamente","Consumo poco (1-2 veces)",0
2025-10-25 11:48:34.474,"Sí","Constitución","Sí","1 vez por semana","Sí","1 vez al mes","Al centro","Capuccino",NA,"Menos de $5.000","Sí","Sí","Sí",NA,"Sí","Pizza y Sándwich","Ambos formatos",NA,NA,"26.0","Masculino","$500.001 - $800.000","Sí","1 vez",NA,"Probar productos","Redes sociales",NA,"Medio","Alto","Alto","Alto","Alto","Indiferente","Me interesa","Indiferente","Indiferente","Me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo diariamente","Consumo diariamente",0
2025-10-25 11:50:24.759,"Sí","Constitución","No",NA,"No",NA,NA,NA,NA,"Menos de $5.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.0","Masculino","1.000.001 - $1.999.990","No",NA,NA,"Compartir con amigos/familia","Recomendaciones",NA,"Muy alto","Muy alto","Alto","Muy alto","Muy Bajo",NA,NA,NA,NA,NA,"No consumo","No consumo","Consumo poco (1-2 veces)","No consumo","Consumo diariamente",0
2025-10-25 11:52:37.576,"Sí","Constitución","Sí","Todos los días","No","1 vez a la semana","Cerca de la playa","Descafeinado",NA,"$ 15.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.0","Femenino","Menos de $500.000","No",NA,NA,"Relajarse /disfrutar del ambiente","Redes sociales",NA,"Medio","Alto","Bajo","Bajo","Medio",NA,NA,NA,NA,NA,"Consumo diariamente","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 11:53:44.931,"Sí","Constitución","No","1 vez por semana","Sí","2 veces a la semana","Cerca de mi hogar","Capuccino",NA,"$ 10.000","Sí","Sí","Sí",NA,"Sí","Helados y postres fríos","Servicio con mesas dentro y fuera del local",NA,NA,"20.0","Femenino","$500.001 - $800.000","Sí","2 veces",NA,"Relajarse /disfrutar del ambiente","Precio y promociones",NA,"Medio","Medio","Medio","Medio","Medio","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)",0
2025-10-25 11:54:59.556,"Sí","Constitución","Sí","Todos los días","Sí","2 veces a la semana","Cerca de mi hogar","Espresso",NA,"$ 10.000","Sí","Indiferente","Indiferente",NA,"Sí","Helados y postres fríos","Ambos formatos",NA,NA,"28.0","Masculino","$800.001 - $1.000.000","Sí","1 vez",NA,"Relajarse /disfrutar del ambiente","Recomendaciones",NA,"Medio","Muy alto","Muy alto","Muy alto","Alto","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo diariamente","Consumo poco (1-2 veces)","Consumo diariamente","Consumo diariamente","Consumo poco (1-2 veces)",0
2025-10-25 11:55:46.567,"Sí","Constitución","Sí","Todos los días","Sí","1 al mes","Al centro","Descafeinado",NA,"Más de $20.000","Sí","Sí","Sí",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Ambos formatos",NA,NA,"39.0","Femenino","$500.001 - $800.000","Sí","1 vez",NA,"Relajarse /disfrutar del ambiente","Recomendaciones",NA,"Medio","Alto","Alto","Alto","Medio","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo diariamente","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 11:56:57.259,"Sí","Constitución","Sí","3 veces por semana","Sí","1 vez a la semana","Al centro","Moca",NA,"$ 10.000","Sí","Indiferente","Sí",NA,"Sí","Snacks para llevar","Ambos formatos",NA,NA,"29.0","Femenino","Menos de $500.000","Sí","2 veces",NA,"Relajarse /disfrutar del ambiente","Recomendaciones",NA,"Alto","Alto","Alto","Alto","Alto","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 12:00:34.363,"Sí","Constitución","Sí","1 vez por semana","No",NA,NA,"Tradicional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.0","Masculino","Prefiero no decirlo","No","No",NA,"No asistr","No asiste",NA,"Muy alto","Muy alto","Alto","Muy Bajo","Muy Bajo",NA,NA,NA,NA,NA,"Consumo poco (1-2 veces)","No consumo","Consumo diariamente","Consumo poco (1-2 veces)","Consumo diariamente",0
2025-10-25 12:03:30.608,"Sí","Constitución","Sí","2 veces por semana","Sí","2 veces al mes","Al centro","Descafeinado",NA,"$ 10.000","Sí","Indiferente","Sí",NA,"Indiferente","Bebidas frías (Frappés, smoothies, jugos naturales)","Servicio con mesas dentro y fuera del local",NA,NA,"31.0","Femenino","$800.001 - $1.000.000","Sí","1 vez",NA,"Relajarse /disfrutar del ambiente","Cercanía o ubicación",NA,"Medio","Alto","Alto","Alto","Alto","Me interesa","Me interesa","Me interesa","Me interesa","No me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","No consumo","Consumo poco (1-2 veces)","No consumo",0
2025-10-25 12:04:40.185,"Sí","Constitución","No","Poco frecuente","Sí","1 vez al mes","Al centro","Capuccino",NA,"Menos de $5.000","Sí","Indiferente","Sí",NA,"Indiferente","Helados y postres fríos","Ambos formatos",NA,NA,"39.0","Femenino","Prefiero no decirlo","Sí","1 vez",NA,"Compartir con amigos/familia","Cercanía o ubicación",NA,"Alto","Alto","Alto","Alto","Medio","Me interesa","Me interesa","Indiferente","Me interesa","Me interesa","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo diariamente","Consumo diariamente","No consumo",0
2025-10-25 12:04:40.453,"Sí","Constitución","Sí","Todos los días","Sí","1 vez a la semana","Al centro","Espresso",NA,"Menos de $5.000","Sí","Indiferente","Sí",NA,"Sí","Pizza y Sándwich","Servicio con mesas dentro y fuera del local",NA,NA,"28.0","Femenino","Prefiero no decirlo","Sí","Hace tiempo no voy",NA,"Relajarse /disfrutar del ambiente","Cercanía o ubicación",NA,"Medio","Muy alto","Muy alto","Muy alto","Medio","Me interesa","Me interesa","Indiferente","Indiferente","Me interesa","Consumo diariamente","No consumo","Consumo mucho (3-4 veces)","No consumo","Consumo mucho (3-4 veces)",0
2025-10-25 12:07:04.465,"Sí","Constitución","Sí","1 vez por semana","Sí","2 veces a la semana","Al centro","Descafeinado",NA,"$ 10.000","Sí","Sí","Sí",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Ambos formatos",NA,NA,"63.0","Femenino","Menos de $500.000","Sí","1 vez",NA,"Compartir con amigos/familia","Precio y promociones",NA,"Muy alto","Alto","Alto","Alto","Muy alto","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo diariamente",0
2025-10-25 12:12:11.133,"Sí","Constitución","Sí","1 vez por semana","No",NA,"Al centro","Descafeinado",NA,"$ 10.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.0","Femenino","Prefiero no decirlo","No","No he visitado",NA,"Compartir con amigos/familia","Cercanía o ubicación",NA,"Medio","Alto","Alto","Alto","Medio",NA,NA,NA,NA,NA,"Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 12:12:34.397,"Sí","Constitución","Sí","Todos los días","No",NA,NA,"Espresso",NA,"$ 10.000","Sí","Indiferente","Indiferente",NA,"Sí","Helados y postres fríos","Ambos formatos",NA,NA,"41.0","Femenino","Menos de $500.000","Sí","No",NA,"Relajarse /disfrutar del ambiente","Recomendaciones",NA,"Medio","Alto","Alto","Alto","Medio","Indiferente","Me interesa",NA,"Me interesa","Me interesa","Consumo diariamente","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente",0
2025-10-25 12:18:07.58,"Sí","Constitución","Sí","Todos los días","Sí","2 veces a la semana","Al centro","Espresso",NA,"Menos de $5.000","No","Sí","Sí",NA,"No",NA,NA,NA,NA,"33.0","Masculino","1.000.001 - $1.999.990","Sí","No",NA,"Compartir con amigos/familia","Recomendaciones",NA,"Muy alto","Muy alto","Muy alto","Muy alto","Bajo","No me interesa","No me interesa","Me interesa","Me interesa","Me interesa","Consumo diariamente","No consumo","Consumo diariamente","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)",0
2025-10-25 12:18:55.519,"Sí","Constitución","Sí","Todos los días","Sí","3 veces a la semana","Cerca de mi hogar","Espresso",NA,"$ 10.000","Sí","Sí","Sí",NA,"Sí","Helados y postres fríos","Ambos formatos",NA,NA,"54.0","Masculino","Más de $2.000.000","Sí","No",NA,"Relajarse /disfrutar del ambiente","Redes sociales",NA,"Medio","Alto","Alto","Alto","Alto","Me interesa","Me interesa","Me interesa","Me interesa","No me interesa","Consumo diariamente","No consumo","Consumo mucho (3-4 veces)","No consumo","Consumo diariamente",0
2025-10-25 12:26:15.772,"Sí","Visitante","Sí","1 vez por semana","Sí","2 veces al mes","Cerca de mi hogar","Capuccino",NA,"Más de $20.000","Sí","Sí","Sí",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Servicio con mesas dentro y fuera del local",NA,NA,"28.0","Masculino","$500.001 - $800.000","Sí","No estoy viviendo actualmente en Constitución, pero cuando vivía acá iba 2-3 veces al mes.",NA,"Compartir con amigos/familia","Cercanía o ubicación",NA,"Medio","Alto","Alto","Alto","Alto","Me interesa","Me interesa","Indiferente","Me interesa","No me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente","Consumo diariamente","Consumo diariamente",0
2025-10-25 12:27:20.797,"Sí","Visitante","Sí","3 veces por semana","Sí","2 veces al mes","Al centro","Moca",NA,"$ 15.000","Sí","Sí","Indiferente",NA,"Sí","Bebidas frías (Frappés, smoothies, jugos naturales)","Ambos formatos",NA,NA,"28.0","Femenino","Menos de $500.000","Sí","1 vez",NA,"Compartir con amigos/familia","Cercanía o ubicación",NA,"Medio","Alto","Medio","Alto","Medio","Indiferente","Me interesa","Indiferente","Me interesa","Me interesa","Consumo mucho (3-4 veces)","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo mucho (3-4 veces)","Consumo mucho (3-4 veces)",0
2025-10-25 12:28:42.387,"Sí","Constitución","Sí","1 vez por semana","No",NA,NA,"Descafeinado",NA,NA,"No","Sí","Indiferente",NA,"Indiferente",NA,NA,NA,NA,"60.0","Masculino","$800.001 - $1.000.000","Sí","Nunca",NA,"Compartir con amigos/familia","Recomendaciones",NA,"Muy alto","Muy alto","Muy alto","Muy alto","Medio",NA,NA,NA,NA,NA,"Consumo poco (1-2 veces)","No consumo","Consumo diariamente","No consumo","Consumo diariamente",0
2025-10-25 12:35:34.223,"Sí","Constitución","Sí","Todos los días","No",NA,NA,"Espresso",NA,NA,"Sí","No","Sí",NA,"Sí","Actual","Ambos formatos",NA,NA,"50.0","Femenino","$500.001 - $800.000","Sí","1 vez",NA,"Compartir con amigos/familia","Recomendaciones",NA,"Muy alto","Muy alto","Muy alto","Muy alto","Medio","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","Consumo diariamente","Consumo poco (1-2 veces)","Consumo diariamente","Consumo diariamente","Consumo poco (1-2 veces)",0
2025-10-25 12:35:36.736,"Sí","Constitución","Sí","2 veces por semana","Sí","1 vez al mes","Al centro","Grano",NA,"$ 15.000","Sí","Sí","Sí",NA,"Sí","Helados y postres fríos","Ambos formatos",NA,NA,"63.0","Masculino","$500.001 - $800.000","Sí","Nunca",NA,"Probar productos","Cercanía o ubicación",NA,"Medio","Alto","Alto","Muy alto","Muy alto","Me interesa","Me interesa","Indiferente","Me interesa","Me interesa","Consumo poco (1-2 veces)","Consumo poco (1-2 veces)","Consumo diariamente","Consumo diariamente","Consumo diariamente",0
2025-10-25 12:36:03.997,"Sí","Constitución","No",NA,"No",NA,"Al centro",NA,NA,"$ 10.000","No","Sí","Sí",NA,"Sí","Helados y postres fríos","Ambos formatos",NA,NA,"40.0","Femenino","Prefiero no decirlo","Sí","No",NA,"Relajarse /disfrutar del ambiente","Recomendaciones",NA,"Alto","Alto","Alto","Alto","Muy Bajo","Me interesa","Me interesa","Me interesa","Me interesa","Me interesa","No consumo","Consumo poco (1-2 veces)","Consumo diariamente","No consumo","Consumo diariamente",0
