edad,veces,esc,comuna,n_men5c,n_men15c,tiempo,pub,sex,c_pareja,dependency,sk_occ,ing_hog,vehiculo,numper_n,score1
37,5,10,13401,1,1,120,1,0,1,3,4,.52773601,0,2,2.4330821
70,6,17,13108,0,0,75,1,1,1,3,1,3.6199999,0,4,3.216867
35,1,16,13101,0,0,30,0,0,1,3,1,6.1533332,1,2,1.9620403
52,6,12,13121,0,0,5,0,1,1,2,2,2.8,1,4,1.8529232
18,7,12,13101,0,0,25,1,0,0,3,4,1.885667,0,2,2.0563965
20,3,14,13101,0,0,45,1,0,0,3,4,1.8575,1,3,4.2418499
55,5,11,13125,1,1,120,1,0,1,3,1,1.73,1,5,2.0826144
28,5,12,13110,1,3,80,1,0,1,3,4,.92330402,1,2,2.6946764
27,3,21,13114,0,1,45,1,1,0,3,1,6.7750001,1,7,1.3182778
34,6,12,13119,0,2,60,1,1,0,3,4,2.404583,0,5,3.1904967
27,5,17,13120,0,0,15,0,1,0,3,1,5.0516658,1,2,1.1784078
21,5,12,13401,0,0,60,1,1,0,3,2,.913333,1,3,2.330806
65,5,10,13301,0,0,45,1,1,1,3,4,1.191785,0,2,2.7890327
52,5,12,13203,0,0,10,0,1,1,3,1,.5,1,2,2.9155002
35,5,12,13401,0,0,5,0,1,1,3,4,1.519333,1,3,1.0840516
26,5,10,13117,1,1,90,1,0,1,3,3,1.014746,0,2,3.8959172
27,3,17,13101,0,0,30,0,0,0,3,1,2.6902511,0,2,2.5467343
35,5,21,13123,0,0,30,0,0,0,3,1,7.2785001,1,3,1.0840516
18,5,12,13112,0,0,120,1,0,0,2,3,1.1,0,3,3.7072046
56,5,7,13201,0,0,90,1,0,0,3,3,1.025327,0,2,3.89238
52,6,8,13127,0,0,45,1,1,1,3,4,2.2228341,0,4,1.5525041
25,5,8,13126,1,0,10,0,0,0,3,3,2.306637,0,4,1.0840516
36,7,16,13111,0,4,180,0,0,1,3,3,2.4967501,1,4,2.9905605
47,5,16,13114,0,0,30,0,1,0,3,2,2.5787849,1,3,1.0840516
42,6,7,13131,0,0,60,1,0,0,1,2,.40000001,0,1,1.0840516
26,5,18,13104,0,0,25,0,0,0,3,1,.94599998,0,3,2.9870234
31,3,17,13113,0,0,45,1,1,1,3,1,1.2,1,2,1.1784078
28,5,0,13121,1,1,60,1,1,1,3,4,.60000002,0,2,2.6312251
54,5,5,13106,0,0,60,0,0,1,2,3,1.15,1,2,3.9051952
28,5,14,13110,0,0,100,1,0,0,3,1,2.719167,0,3,1.9486377
27,5,12,13116,0,1,45,1,1,0,3,2,.968472,0,2,1.4662199
30,5,12,13201,0,1,60,0,0,1,3,3,2.457515,1,5,1.5605761
31,2,11,13201,0,1,30,0,1,1,2,2,.70999998,1,2,2.7582798
61,4,8,13106,0,1,1,0,1,0,2,4,1.042778,0,3,3.2521546
48,6,7,13404,0,0,25,0,0,0,3,4,1.434,0,2,1.0840516
30,5,17,13101,0,0,30,1,1,0,3,1,1.608333,0,1,1.867684
63,5,15,13113,0,0,30,0,1,0,3,2,1.698917,1,1,1.0840516
29,4,12,13102,0,1,60,0,0,1,3,4,1.575,1,2,2.9369748
32,5,13,13114,0,2,45,1,1,0,3,2,1.920803,1,5,3.7572532
39,5,18,13123,1,1,40,1,1,1,3,1,4.6383338,1,2,2.3487434
52,5,12,13110,0,0,30,0,0,0,3,1,3.2705841,1,3,2.4966855
52,12,12,13301,0,0,80,1,0,0,3,3,.89999998,0,1,2.5140359
39,5,17,13201,0,1,50,0,1,0,3,1,2.5058329,1,1,1.0840516
40,2,12,13119,0,1,90,0,0,1,3,4,1.7,1,5,2.6266901
62,6,8,13401,0,0,15,0,0,1,3,3,1.844619,1,4,2.5368688
47,3,12,13105,0,0,60,1,0,0,2,3,.827667,0,1,1.412634
46,5,15,13112,0,1,60,0,0,1,2,3,.92000002,1,3,2.9155002
71,1,4,13401,0,1,20,1,0,1,2,2,1.373917,1,3,2.6946764
61,2,11,13602,0,0,45,0,0,1,2,1,1.595,1,4,2.7675581
56,5,17,13114,0,0,30,0,1,1,3,1,25.357166,1,4,1.412634
47,5,5,13603,0,0,30,0,0,1,3,4,2.1441669,1,4,1.3992316
55,5,12,13109,0,0,20,0,1,0,3,2,1.045584,0,2,1.2727641
53,5,12,13130,0,0,45,1,1,0,4,4,.87833297,1,1,1.5278777
24,5,13,13124,0,0,120,1,0,0,3,3,1.6745,0,3,2.8654513
33,5,10,13124,0,1,30,1,1,1,3,4,1.12,1,3,2.9596553
57,6,13,13125,0,0,30,1,1,1,3,4,1.515834,1,2,3.3772638
50,5,10,13131,1,1,90,1,0,1,3,4,.83425701,1,3,4.0531373
29,5,3,13128,0,1,60,0,0,0,2,3,1.765851,0,4,1.0840516
57,5,12,13202,2,0,35,0,0,1,3,4,1.9400409,1,5,1.3182778
30,5,12,13401,0,0,40,0,0,0,3,4,1.4275,0,3,2.1635683
23,7,3,13127,0,0,50,0,0,1,3,4,1.567,1,2,2.2898273
36,5,15,13124,0,1,75,1,0,1,3,1,2.385,1,2,1.1784078
46,5,8,13604,0,1,60,1,1,1,4,4,2.2278211,0,4,3.1268933
65,6,12,13201,0,0,60,1,1,0,3,2,2.326791,0,5,2.577487
55,5,17,13124,0,0,180,0,0,1,1,1,2.8599999,0,4,2.1681032
24,5,16,13123,2,0,15,0,0,0,3,3,3.008333,1,3,1.6334578
42,6,12,13101,0,1,10,0,1,0,3,2,.93333298,0,3,2.992506
40,5,17,13202,0,2,20,0,0,1,3,1,2.804167,1,2,1.0840516
64,4,12,13120,0,1,90,1,1,1,3,3,1.12108,1,2,1.412634
40,5,10,13501,0,1,90,1,0,1,2,2,1.758,1,4,1.3992316
22,6,13,13201,0,0,60,1,0,0,3,2,1.02,0,2,2.0737469
66,5,12,13103,0,0,60,0,0,1,1,3,1.2948329,1,2,4.1474938
52,5,17,13102,0,0,40,0,0,1,3,1,3.73,1,4,1.6415299
34,4,19,13120,0,0,30,1,1,1,3,1,5.8408332,0,2,1.9701124
49,5,8,13301,0,0,10,0,0,1,3,4,1.35,1,4,1.0840516
47,6,12,13604,0,2,180,0,1,1,3,2,2.1674509,1,2,1.9963303
21,7,12,13502,0,0,15,0,0,0,3,4,1.546667,1,3,1.0840516
37,7,14,13116,0,2,5,0,0,1,2,4,1.4,0,2,4.1474938
36,4,15,13605,1,1,120,1,0,1,3,1,4.1212511,1,3,1.6722827
42,5,8,13301,2,1,30,1,1,1,3,4,1.323187,0,4,2.0156262
35,7,17,13114,0,0,30,0,0,1,3,1,6.2966671,1,2,1.0840516
52,5,12,13403,0,0,5,0,0,0,2,4,2.2491109,0,4,3.1577983
24,2,12,13202,0,0,10,0,1,1,3,2,3.676667,1,6,1.1784078
27,3,17,13101,0,0,40,1,0,1,3,1,1.8794971,1,2,1.3182778
61,3,11,13120,0,0,25,1,1,0,2,2,.92000002,0,1,1.0840516
35,4,15,13121,1,1,60,1,1,1,3,1,1.914171,1,3,3.0634422
28,6,9,13110,0,2,60,1,1,1,3,4,1.316483,0,2,1.5525041
26,2,18,13119,0,0,90,1,0,0,3,1,7.4941678,1,4,1.0840516
55,6,13,13201,0,0,90,0,0,1,2,3,.83749998,1,2,3.0246172
56,5,12,13502,1,0,15,0,1,1,3,4,1.193333,0,3,1.5525041
29,5,15,13301,0,1,75,0,1,1,3,1,1.65,1,2,1.0840516
61,5,12,13122,0,0,40,1,0,1,3,2,1.483333,0,3,2.4023294
19,5,12,13127,0,0,60,0,0,0,3,4,1.138333,0,5,2.6637712
27,5,17,13201,0,0,60,0,1,1,3,1,5.006083,1,5,1.7278141
19,5,12,13109,0,0,45,1,1,0,3,1,1.98,0,4,1.7813998
40,5,7,13125,1,2,30,1,0,1,3,4,.87940598,0,2,1.2319936
30,5,17,13122,1,0,45,1,1,1,3,1,1.938334,1,3,3.3022034
54,4,25,13114,0,1,40,0,1,1,3,1,8.6441669,1,2,1.0840516
28,6,12,13112,0,0,5,0,1,0,3,4,.48666701,1,3,3.1532633
24,6,13,13108,0,0,60,0,0,0,3,1,1.132,0,4,3.6307857
39,4,15,13129,1,0,60,1,1,0,3,2,2.070416,0,2,3.3691916
42,5,17,13201,0,1,90,1,1,0,3,1,1.546159,0,2,2.8426185
44,6,12,13126,0,0,60,1,1,0,4,4,1.661667,0,4,2.4023294
54,4,16,13119,0,0,120,1,0,1,3,1,1.37,1,4,2.7890327
46,5,15,13401,0,0,45,0,1,1,3,1,1.501667,1,4,3.2941313
29,6,3,13106,1,0,40,0,0,1,2,4,.478333,1,3,2.6410906
58,5,16,13122,0,0,90,0,1,0,3,1,2.98,1,5,1.6549324
41,7,15,13603,0,0,120,1,0,0,3,3,1.739778,1,3,1.3763986
69,5,6,13402,0,0,45,0,0,1,3,4,1.47,1,4,1.1784078
36,3,19,13114,1,2,10,0,0,1,3,1,7.1158342,1,2,1.3182778
28,5,16,13101,0,0,20,1,1,0,3,1,1.515,0,1,2.3487434
29,5,17,13115,0,0,30,0,0,1,3,2,13.07,1,4,1.0840516
36,12,11,13121,0,0,30,1,0,0,3,2,.85000002,1,2,1.0840516
65,5,12,13302,0,0,5,0,1,0,2,3,1.2722501,1,2,3.6093111
50,4,22,13120,1,0,15,0,0,1,2,1,20.375,1,2,1.9392073
61,5,12,13202,0,1,10,1,0,1,3,3,1.058019,0,4,1.3182778
28,5,14,13124,0,0,60,1,1,0,3,1,.885333,0,1,3.1268933
27,5,15,13109,0,0,30,0,0,0,3,1,3.3139999,1,4,1.2319936
33,4,12,13118,0,0,120,1,1,1,3,2,1.113783,0,2,1.7004461
38,4,4,13303,0,2,15,0,1,1,3,4,.80141699,0,4,3.2521546
38,6,18,13101,1,0,45,0,0,1,3,2,2.8487501,1,2,2.5695672
33,6,15,13123,2,0,35,1,0,1,3,2,4.4108338,1,2,1.9258047
28,5,12,13121,1,1,120,0,1,1,1,1,3.2674999,0,2,2.3830335
63,2,4,13201,1,1,60,1,1,0,3,4,.55500001,0,2,2.1681032
42,5,15,13501,1,0,20,0,0,1,3,3,.85500002,1,4,1.0840516
28,5,15,13122,0,1,60,0,0,0,3,4,4.5541668,1,5,2.4104013
59,5,12,13605,0,0,90,0,0,1,3,4,.7705,1,2,1.0840516
49,10,17,13120,0,1,30,0,0,1,2,1,2.168,1,2,2.2315543
22,3,12,13115,0,0,30,0,0,0,3,4,1.85,0,4,2.2315543
52,6,12,13130,0,0,5,0,0,1,2,4,2.934721,1,4,2.3160453
47,6,13,13124,0,0,120,1,1,1,3,2,3.589942,1,5,3.2521546
54,5,19,13115,0,0,20,0,0,0,3,1,4.1500001,0,1,1.0840516
26,5,15,13122,1,1,20,0,1,1,3,1,2.995362,1,4,1.7813998
42,5,18,13119,0,2,30,0,0,1,3,1,4.0758328,1,2,1.6468602
21,6,12,13105,0,0,60,1,0,0,3,4,1.8263609,0,3,2.8390813
41,5,12,13111,0,2,10,0,1,0,2,2,1.463086,0,2,3.2883902
29,4,21,13123,0,0,60,1,1,0,2,1,4.6333332,1,4,2.6410906
23,5,13,13125,0,0,30,1,0,0,3,3,1.0866669,1,3,1.0840516
27,5,14,13115,0,0,20,0,1,0,3,1,3.4349999,1,2,1.4207062
54,5,11,13301,1,1,25,0,0,1,3,1,.95999998,1,4,1.7813998
47,5,12,13201,0,1,45,1,0,1,3,1,.98031002,1,2,1.867684
65,5,12,13301,0,0,30,0,0,1,3,3,.88833302,1,3,1.6013466
33,6,14,13131,0,0,90,1,0,0,3,1,2.1800001,1,3,1.2319936
57,5,12,13120,0,0,90,1,0,1,3,3,.88,0,3,2.5195186
20,5,9,13124,2,0,10,1,1,1,3,2,1.0882781,0,2,2.5949895
63,5,8,13603,0,0,5,0,0,1,3,4,1.21,1,3,1.0840516
38,6,17,13116,0,2,90,1,1,1,2,1,1.4,0,2,4.1474938
34,5,17,13132,0,0,30,0,1,1,3,1,1.8,1,2,1.0840516
30,6,13,13201,1,1,60,1,1,0,2,2,1.056561,0,3,2.1600311
33,6,16,13108,0,0,5,0,1,1,3,1,1.573,0,3,2.8802123
25,5,12,13121,0,0,30,1,1,1,3,2,2.9398329,1,5,2.0790772
29,5,19,13124,0,0,90,0,1,0,3,1,7.0241671,1,7,2.992506
36,6,14,13402,0,0,60,0,1,0,3,2,2.2933331,1,3,2.0563965
22,2,16,13102,0,1,5,0,0,0,3,1,1.633755,0,3,2.7322702
24,6,10,13121,0,0,15,0,0,0,3,3,1.7366641,0,5,3.2521546
47,10,11,13103,0,1,180,1,0,0,3,3,1.085,0,3,2.6584408
38,5,15,13121,0,0,70,1,0,0,3,3,1.415,0,2,2.0451727
23,6,10,13605,0,2,25,0,0,1,3,2,1.825869,1,5,2.9369748
49,5,14,13119,0,0,25,0,1,1,3,1,4.9066672,1,3,1.0840516
47,2,8,13104,0,0,10,1,0,0,2,4,.52899998,0,2,1.9927931
49,5,15,13125,0,0,90,0,0,1,3,1,1.604167,1,4,1.5525041
61,5,12,13119,0,2,60,0,0,1,3,2,1.4275,1,3,1.0840516
34,5,18,13122,0,2,60,1,0,0,3,1,11.305,1,3,1.1784078
35,5,12,13103,0,0,30,1,1,0,3,4,.85938299,0,2,1.6334578
41,2,12,13124,0,0,120,0,0,0,2,3,1.317861,1,3,3.4420733
18,7,12,13303,0,0,30,0,0,1,3,4,.46200001,0,2,1.4935879
21,1,13,13113,0,0,20,1,0,0,2,4,1.668334,1,3,2.5467343
46,5,12,13301,2,1,30,1,0,1,3,4,1.323187,0,4,2.0156262
29,5,15,13124,2,0,30,1,0,0,3,3,1.423333,0,4,3.4000967
55,5,17,13123,0,0,5,0,1,0,2,1,4,1,2,1.0840516
39,5,17,13120,0,0,40,0,1,1,3,1,4.4485002,1,2,2.2043386
58,5,8,13604,0,0,10,0,1,0,3,2,.54000002,0,1,2.8426185
41,5,12,13201,0,1,10,0,1,1,3,1,1.731667,1,3,2.6446276
49,4,10,13130,0,0,60,1,1,0,3,1,1.109167,0,5,2.4559152
34,2,17,13110,0,0,60,0,0,0,3,1,2.98,1,4,2.1681032
29,5,18,13105,0,0,60,1,0,0,3,1,1.094421,0,2,1.0840516
34,5,12,13122,0,2,60,1,1,0,3,4,1.504167,1,4,2.5650322
16,1,10,13125,0,0,15,0,0,0,2,4,1.373422,0,3,1.9472793
52,6,8,13201,2,1,30,0,0,1,3,4,2.625849,1,6,2.6003201
63,6,12,13119,0,0,150,1,1,1,3,2,.40000001,1,4,2.5548065
62,10,13,13119,0,0,10,0,0,0,3,4,1.6583329,1,3,2.5682089
53,5,8,13112,0,0,60,0,0,1,3,4,.75,1,2,4.1474938
37,5,21,13132,1,0,10,0,0,1,1,1,11.466666,1,2,1.0840516
37,6,9,13112,0,2,120,1,0,1,3,3,.58638602,0,2,3.2521546
41,5,12,13603,1,1,10,0,0,1,3,4,1.3423181,1,4,2.0737469
60,5,6,13201,0,2,60,1,0,1,3,3,1.707826,0,4,2.1681032
64,5,11,13129,0,0,10,0,0,1,3,4,1.92581,1,3,2.6003201
28,5,7,13602,0,0,15,0,0,0,2,3,.5,0,1,1.7867303
25,5,18,13113,0,0,45,0,1,0,3,1,5.9000001,1,4,1.0840516
34,5,16,13108,0,0,45,1,1,0,3,2,1.25,0,4,1.9346724
29,5,10,13112,1,1,20,0,0,1,3,3,1.126667,1,2,3.9051952
49,5,12,13119,0,0,60,1,0,0,3,3,.82999998,0,4,1.1784078
67,7,12,13201,0,0,30,1,0,0,3,2,.89999998,0,1,2.0201612
82,5,15,13127,0,0,30,0,0,0,3,1,1.922583,0,7,1.412634
61,6,12,13127,0,0,40,1,1,1,3,2,1.768584,1,3,3.0098562
54,5,12,13401,0,0,90,1,0,1,3,2,1.1,1,2,2.0737469
35,5,16,13125,2,0,30,1,1,1,3,4,.97500002,0,2,2.0818188
40,5,7,13302,1,1,20,0,1,0,3,4,1.04009,1,3,1.3182778
44,4,12,13123,0,0,10,0,1,0,3,1,1.3540829,0,2,2.452378
27,5,12,13119,0,0,90,1,0,0,3,2,.89999998,0,3,1.3182778
62,6,7,13503,0,0,5,0,0,0,2,4,.47999999,0,1,1.0840516
27,5,12,13114,0,0,20,0,0,0,1,1,3.9324999,1,3,1.0840516
50,5,12,13125,0,0,20,0,1,1,3,1,2.9000001,1,4,1.8221704
32,5,12,13104,0,0,20,0,0,1,3,2,1.640254,0,5,1.7004461
35,5,18,13123,0,0,45,1,1,0,3,1,1.472492,0,1,1.7278141
43,5,12,13201,0,0,60,1,1,1,3,2,1.262133,1,3,3.1577983
59,5,17,13120,0,0,45,1,1,1,3,1,3.398917,1,4,2.7309117
30,6,17,13126,0,0,90,1,1,0,3,1,.85491699,0,2,3.2521546
66,3,22,13114,0,0,45,0,0,1,3,1,5.9746671,1,3,1.412634
41,6,15,13601,0,0,30,0,0,1,3,2,2.3583331,1,4,1.3992316
52,5,19,13115,0,2,20,0,0,1,1,1,0,1,6,1.0840516
68,6,15,13101,0,0,60,1,0,0,3,2,.96700001,0,2,2.4023294
29,5,12,13104,0,2,40,0,0,1,3,4,1.321108,0,2,2.0156262
22,4,15,13201,1,0,60,1,1,1,3,1,1.398,1,2,4.1474938
37,5,12,13503,0,1,30,1,0,1,2,1,.46578199,1,3,1.0840516
35,5,16,13114,0,1,10,0,1,0,2,1,.80000001,1,1,1.6334578
37,5,15,13119,0,0,120,1,1,0,3,1,.85500002,1,2,2.7210464
38,6,12,13119,0,1,20,1,0,1,3,3,1.26,0,2,2.8426185
39,5,12,13113,0,1,120,1,1,1,3,2,1.188333,0,2,2.1600311
27,5,17,13119,0,0,90,1,0,0,3,4,.233,0,3,1.6334578
32,6,16,13130,0,3,40,1,1,0,3,1,2.2327361,1,4,4.3362064
39,5,12,13119,0,2,20,0,0,1,2,4,2.7333331,1,3,1.4662199
46,5,18,13107,0,0,45,1,0,0,3,1,4.0166669,0,1,1.7278141
73,1,7,13403,0,0,10,1,1,0,4,4,1.125083,0,3,1.0840516
37,5,12,13203,0,1,10,0,1,0,3,2,.95498401,1,2,1.3182778
23,5,12,13201,0,0,30,0,0,0,3,4,.709167,0,1,1.3182778
59,5,12,13105,0,0,80,1,0,1,3,1,1.536667,0,4,2.1090345
40,5,15,13501,1,1,90,0,0,1,3,1,3.956917,1,2,1.0840516
33,5,17,13114,1,0,30,0,1,1,3,1,5.75,1,3,1.0840516
50,5,12,13118,0,0,40,0,1,1,3,2,1.9400001,1,4,2.3079731
29,5,17,13128,1,0,20,0,1,1,1,1,1.38,0,2,1.9701124
55,5,17,13114,0,0,50,0,0,1,1,1,8.5500002,1,5,1.0840516
51,5,12,13121,0,1,60,1,1,1,4,4,1.883333,1,2,4.3362064
40,5,18,13120,0,0,90,1,0,0,3,1,2.655437,1,3,1.0840516
51,5,12,13125,0,0,10,0,1,1,3,3,3,1,5,2.6946764
54,5,12,13110,0,0,40,1,0,1,3,3,1.2833329,1,3,4.3362064
40,5,19,13123,1,0,20,0,0,1,3,1,3.8783331,1,2,1.5525041
21,3,11,13106,2,0,10,1,1,0,2,4,.61000001,0,5,2.6866043
46,5,11,13126,0,0,40,1,0,0,3,3,.92552298,1,2,2.6946764
56,5,13,13109,0,0,5,0,0,0,3,2,.80000001,0,1,1.3992316
35,6,12,13201,1,0,60,0,0,1,3,2,1.121186,1,3,1.0840516
24,5,14,13106,0,0,5,0,1,0,3,2,1.343917,1,3,4.3362064
64,10,15,13101,0,0,60,1,1,0,3,1,.93475002,0,1,2.9235721
33,5,12,13110,0,2,15,0,0,0,2,4,1.1,0,3,1.3182778
45,5,11,13101,0,1,40,1,1,0,3,4,.56289297,0,1,3.0098562
69,1,17,13401,0,0,180,0,0,1,2,1,3.1391661,1,2,1.5150625
47,5,14,13130,0,1,20,1,1,1,3,1,2.7541659,1,3,1.867684
42,5,14,13401,1,0,60,0,0,1,3,3,3.2541671,1,3,1.2319936
49,6,15,13115,0,1,10,0,0,1,2,4,2.55,1,6,1.9258047
58,5,6,13403,0,1,5,0,1,0,2,4,1.553323,0,6,1.0840516
39,5,15,13127,0,0,90,1,1,1,4,4,2.0550001,0,2,1.0840516
71,6,12,13122,0,0,15,0,0,1,3,2,1.363,1,2,2.452378
46,5,17,13114,0,1,40,0,1,0,3,1,6.6125002,1,2,1.4207062
26,5,15,13102,0,0,15,0,1,1,3,3,2.5,1,4,4.3362064
23,5,12,13201,0,0,90,1,1,0,3,1,.93666703,0,4,2.1600311
36,6,12,13605,1,1,60,0,0,1,3,4,1.236069,1,2,1.7813998
29,5,12,13124,0,0,30,0,0,0,3,4,2.799999,1,4,3.2521546
24,6,15,13111,0,0,90,1,1,1,3,1,1.368,1,5,2.8152504
36,5,17,13114,0,0,45,1,0,1,3,1,7.400001,1,2,2.4023294
29,7,12,13112,0,1,15,0,1,1,3,2,1.475,1,2,2.1681032
68,5,8,13401,0,0,60,1,0,1,2,4,.46250001,0,4,4.0939078
51,5,16,13130,0,0,90,1,1,1,3,1,2.0650001,1,4,2.0236981
51,6,17,13107,0,0,30,0,0,1,3,1,4.5064998,1,3,1.1784078
23,5,12,13202,0,0,90,1,0,0,3,2,1.166667,0,2,1.0840516
26,5,17,13101,0,0,120,1,1,1,3,1,4.2108331,1,2,2.1099823
39,5,22,13120,0,2,30,0,0,1,3,1,4.8291669,1,2,2.2906227
35,2,16,13124,0,0,30,0,1,0,2,4,1.192414,1,3,1.5069903
35,5,23,13123,0,0,40,1,0,0,3,1,3.9825001,1,2,1.9258047
37,4,17,13124,0,0,60,0,0,1,3,1,4.8291001,0,2,1.0840516
63,3,8,13301,0,0,20,0,1,1,2,2,1.943785,1,2,1.0840516
57,5,9,13104,0,0,20,0,0,1,3,4,.94999999,0,3,1.0840516
20,5,12,13106,0,0,40,1,0,0,3,2,1.15,0,3,2.0156262
65,5,12,13501,0,0,20,0,1,0,3,2,1.261,0,2,1.3182778
42,5,16,13201,0,1,90,1,0,1,3,1,1.825678,1,4,3.4556282
31,6,12,13101,1,0,20,0,0,1,3,2,.5,0,2,1.7049811
72,6,3,13601,1,1,15,0,1,0,3,3,1.977221,1,4,1.3763986
35,5,10,13126,2,0,60,1,0,1,3,3,1.155,1,2,3.1577983
36,5,26,13113,0,1,35,1,0,1,3,1,3.2333331,1,2,1.0840516
26,5,17,13115,0,0,20,0,1,0,3,1,10,1,4,1.0840516
67,5,8,13119,0,0,60,1,0,1,1,3,1.131667,1,4,1.2319936
30,5,17,13119,1,1,60,1,0,1,3,3,1.165069,0,2,1.0840516
52,5,2,13101,0,0,40,1,0,1,3,1,3.3414171,0,2,2.0201612
42,5,12,13119,0,1,45,0,0,1,3,4,.91000003,0,2,1.8891586
55,4,14,13118,0,0,105,1,0,1,3,4,1.333333,1,3,1.6334578
26,6,10,13401,0,1,10,0,1,1,3,2,.64999998,1,2,2.2772202
25,10,15,13107,1,1,30,1,1,0,3,1,1.2912329,1,4,3.1497264
20,6,13,13105,0,0,60,0,1,0,3,4,1.2587529,1,3,3.0098562
50,3,9,13202,0,0,25,0,1,1,2,4,1.0599999,1,3,1.0840516
41,6,12,13112,1,1,40,1,1,1,3,2,1.057826,1,4,1.6334578
40,6,12,13130,0,0,90,1,1,0,3,2,1.4498709,1,3,1.7813998
26,5,12,13301,0,1,5,0,1,1,2,2,3.3005891,1,4,1.0840516
28,5,8,13112,1,1,40,0,0,1,3,3,1.79,1,2,3.4863808
32,5,12,13105,2,0,60,1,0,1,3,3,1.0812401,1,5,1.1784078
23,5,15,13301,0,0,45,1,1,0,3,1,.57999998,0,2,3.4863808
23,5,14,13118,0,0,40,1,0,0,3,2,1.92,0,4,2.6365557
64,6,14,13120,0,1,60,1,1,0,3,2,1.981167,0,2,2.9324398
33,5,13,13103,0,2,10,0,1,0,3,1,1.167158,1,1,2.9155002
41,5,12,13109,0,1,60,1,1,0,3,1,1.1114171,0,2,4.0531373
41,5,10,13110,1,1,60,1,0,1,3,3,1.131047,1,2,2.7255814
63,3,12,13104,0,0,30,0,0,1,3,4,1.833333,1,3,3.8516095
35,6,12,13105,0,0,30,0,1,1,3,4,2.38132,1,3,2.9369748
42,5,17,13201,0,2,15,0,1,1,3,1,4.856667,1,2,1.0840516
67,5,9,13201,0,0,60,1,1,1,3,4,1.524682,0,2,3.1304305
21,2,13,13123,0,0,45,1,0,0,3,2,5.1570001,1,3,1.7993373
38,5,15,13111,0,0,30,1,1,0,3,1,.146667,1,5,3.494453
68,5,17,13123,0,0,45,1,1,0,3,1,5.8325,1,3,1.0840516
54,2,8,13125,0,0,4,0,1,1,2,2,.52999997,0,2,3.3057404
41,6,12,13201,0,2,90,1,1,0,3,4,1.251104,0,3,2.623153
58,6,13,13201,0,1,30,1,0,1,3,1,4.7515831,1,4,2.3942573
